Mean,Max,Min,Std,Range,Season,Sunday,Am,Lunch,Pm
222990.21920555586,324994.70775523223,120985.73065587947,102004.48854967637,204008.97709935275,1,0,1,0,0
247487.07071647653,338015.8757096971,156958.265723256,90528.80499322055,181057.6099864411,1,0,0,1,0
327689.2239363678,406166.2838868296,249212.16398590588,78477.05995046187,156954.11990092375,1,0,0,1,0
360734.42288218316,427341.54257310077,294127.30319126556,66607.1196909176,133214.2393818352,1,0,0,1,0
202387.75067499763,213790.1240843393,190985.377265656,11402.373409341657,22804.746818683314,1,0,0,1,0
152643.3764743214,199221.07626579423,106065.6766828486,46577.69979147281,93155.39958294563,1,0,0,1,0
240735.1147492423,243290.06998542778,238180.1595130568,2554.9552361854876,5109.910472370975,1,0,0,1,0
1070711.5721188402,1172830.567522504,968592.5767151765,102118.99540366372,204237.99080732744,1,0,0,0,1
966103.5300797652,1030642.8770541062,901564.1831054244,64539.34697434091,129078.69394868182,1,0,0,0,1
1030504.447746732,1036042.055644526,1024966.839848938,5537.607897793991,11075.215795587981,1,0,0,0,1
959270.3214432497,970831.3519309881,947709.2909555112,11561.030487738492,23122.060975476983,1,0,0,0,1
1129422.864849536,1180378.1677763455,1078467.5619227265,50955.30292680953,101910.60585361905,1,0,0,0,1
1100358.8404489704,1149590.9155994526,1051126.7652984885,49232.07515048201,98464.15030096401,1,0,1,0,0
1018431.1699926301,1022042.4399255774,1014819.9000596828,3611.269932947296,7222.539865894592,1,0,1,0,0
1026907.0892341443,1058668.2898390708,995145.8886292179,31761.200604926446,63522.40120985289,1,0,1,0,0
125210.72978431614,183317.0973538686,67104.36221476368,58106.36756955246,116212.73513910492,1,0,1,0,0
263148.2217165178,277752.4853811737,248543.95805186187,14604.263664655926,29208.52732931185,1,0,1,0,0
308353.38313753786,414996.67856634303,201710.08770873264,106643.2954288052,213286.5908576104,1,0,0,1,0
309551.7526115516,476207.5193545852,142895.985868518,166655.7667430336,333311.5334860672,1,0,0,1,0
301606.271029586,345051.3404146175,258161.20164455444,43445.06938503153,86890.13877006306,1,0,0,1,0
312932.7953544775,452265.54535963124,173600.04534932377,139332.75000515374,278665.50001030747,1,0,0,1,0
121890.80822030625,140033.64870281395,103747.96773779855,18142.8404825077,36285.6809650154,1,0,0,1,0
187751.16651314663,198211.3420944811,177290.99093181215,10460.175581334479,20920.351162668958,1,0,0,1,0
820960.5453039075,961208.0966692943,680712.9939385208,140247.55136538675,280495.1027307735,1,0,0,0,1
1032097.5955798671,1111473.085320037,952722.1058396972,79375.48974016996,158750.9794803399,1,0,0,0,1
941637.4557418309,992105.9661715191,891168.9453121427,50468.510429688205,100937.02085937641,1,0,0,0,1
1170494.7114394591,1230692.140954487,1110297.2819244314,60197.42951502779,120394.85903005558,1,0,0,0,1
1097463.2696311064,1132995.6221143154,1061930.9171478972,35532.352483209106,71064.70496641821,1,0,0,0,1
997284.5287152412,1063412.7018679027,931156.3555625797,66128.17315266147,132256.34630532295,1,1,1,0,0
1009471.7833110176,1103939.53732682,915004.0292952153,94467.75401580235,188935.5080316047,1,1,1,0,0
1022460.6065871967,1028695.5740610374,1016225.639113356,6234.96747384069,12469.93494768138,1,1,1,0,0
730008.1282237149,816302.4412378424,643713.8152095872,86294.3130141276,172588.6260282552,1,1,1,0,0
653332.2520595471,670991.8487952943,635672.6553237999,17659.59673574718,35319.19347149436,1,1,1,0,0
579381.493271887,643638.2741858386,515124.71235793526,64256.78091395169,128513.56182790338,1,1,0,1,0
723182.5865091744,826803.8912762813,619561.2817420674,103621.30476710695,207242.6095342139,1,1,0,1,0
704426.4918060503,769509.6828072933,639343.3008048072,65083.191001243016,130166.38200248603,1,1,0,1,0
717153.1787651946,788166.2253914317,646140.1321389575,71013.0466262371,142026.0932524742,1,1,0,1,0
690206.670810916,717519.767444639,662893.574177193,27313.096633723006,54626.19326744601,1,1,0,1,0
635834.6563255985,740456.7444534585,531212.5681977386,104622.08812785993,209244.17625571985,1,1,0,1,0
1061899.4372160668,1100063.141066015,1023735.7333661184,38163.7038499483,76327.4076998966,1,1,0,0,1
1072753.2925456162,1144950.2896257504,1000556.295465482,72196.99708013417,144393.99416026834,1,1,0,0,1
1005725.0867105196,1094925.3334235467,916524.8399974926,89200.24671302707,178400.49342605413,1,1,0,0,1
1002415.4730047646,1130580.6653417582,874250.2806677712,128165.19233699347,256330.38467398693,1,1,0,0,1
1024348.1060551046,1134765.666725163,913930.545385046,110417.56067005853,220835.12134011707,1,1,0,0,1
1071383.2200894877,1088817.816037288,1053948.6241416873,17434.59594780032,34869.19189560064,1,0,1,0,0
1040582.0776222983,1236036.0757624728,845128.0794821237,195453.99814017455,390907.9962803491,1,0,1,0,0
1142435.9274892337,1224227.2571785327,1060644.597799935,81791.32968929887,163582.65937859775,1,0,1,0,0
164446.90844295482,264286.98985147325,64606.82703443643,99840.08140851841,199680.16281703682,1,0,1,0,0
271089.9925769549,344404.0116281409,197775.9735257689,73314.01905118601,146628.03810237203,1,0,1,0,0
219854.83362305537,265817.1316320127,173892.53561409801,45962.298008957354,91924.59601791471,1,0,0,1,0
346432.0288125104,402365.76132573513,290498.2962992857,55933.732513224706,111867.46502644941,1,0,0,1,0
250924.5796700854,275941.44502506696,225907.71431510386,25016.86535498155,50033.7307099631,1,0,0,1,0
213727.53379889997,292251.97556382534,135203.0920339746,78524.44176492537,157048.88352985075,1,0,0,1,0
226254.56178763346,251161.79899200643,201347.32458326052,24907.237204372956,49814.47440874591,1,0,0,1,0
243774.684436701,312362.0894006023,175187.27947279977,68587.40496390125,137174.8099278025,1,0,0,1,0
1074241.5410146848,1118532.6585047236,1029950.4235246461,44291.11749003874,88582.23498007748,1,0,0,0,1
1064248.5128000393,1106552.9648753828,1021944.0607246954,42304.452075343695,84608.90415068739,1,0,0,0,1
1057189.5054340216,1158197.7816422868,956181.2292257565,101008.27620826516,202016.55241653032,1,0,0,0,1
918888.444082237,1017456.1701781112,820320.7179863628,98567.72609587421,197135.45219174842,1,0,0,0,1
1078479.6799039298,1109002.6178622448,1047956.7419456147,30522.937958315073,61045.875916630146,1,0,0,0,1
986422.7582711363,1018378.2035900888,954467.3129521838,31955.445318952494,63910.89063790499,1,0,1,0,0
1089440.6038465926,1144461.2354609808,1034419.9722322045,55020.63161438814,110041.26322877628,1,0,1,0,0
969526.317765918,973653.1075153672,965399.5280164687,4126.789749449235,8253.57949889847,1,0,1,0,0
224049.83426158334,282908.661289687,165191.0072334797,58858.82702810364,117717.65405620728,1,0,1,0,0
305169.804546215,335107.43678343575,275232.1723089943,29937.632237220736,59875.26447444147,1,0,1,0,0
253660.25488827145,382771.65668295504,124548.85309358782,129111.40179468361,258222.80358936722,1,0,0,1,0
279706.3659492372,461012.8258450087,98399.90605346565,181306.45989577152,362612.91979154304,1,0,0,1,0
336149.8759180466,479241.15074252174,193058.60109357143,143091.27482447517,286182.54964895034,1,0,0,1,0
169177.8624401453,201903.84295789187,136451.88192239875,32725.98051774656,65451.96103549312,1,0,0,1,0
233105.87045763232,281688.2912782349,184523.44963702973,48582.420820602594,97164.84164120519,1,0,0,1,0
205350.47874586558,266962.97430611355,143737.9831856176,61612.495560247975,123224.99112049595,1,0,0,1,0
1014386.9161094893,1148265.2050334793,880508.6271854993,133878.28892398998,267756.57784797996,1,0,0,0,1
1051841.6419746052,1113057.0521297604,990626.2318194498,61215.41015515529,122430.82031031058,1,0,0,0,1
982110.2631652562,1027325.7018643802,936894.8244661322,45215.43869912397,90430.87739824795,1,0,0,0,1
976339.7130750881,1013308.6646175354,939370.7615326407,36968.95154244738,73937.90308489476,1,0,0,0,1
1143738.2068477003,1259483.1061042468,1027993.307591154,115744.8992565464,231489.7985130928,1,0,0,0,1
1055405.5748402253,1110167.0785179802,1000644.0711624703,54761.503677754954,109523.00735550991,1,0,1,0,0
1027031.9971663957,1152480.184264612,901583.8100681795,125448.1870982162,250896.3741964324,1,0,1,0,0
